CountryIsoCode,Country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,82.967,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,82.98,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,82.992,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,83.004,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,79.023,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,80.368,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,83.552,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.856,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.859,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.86,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.863,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.865,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.843,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.855,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.884,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,54297.459,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,55695.332,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,54906.348,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2018,54904.29,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,55035.018,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2020,48026.39,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2021,51128.348,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2022,54233.449,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2015,11.802,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2016,11.971,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2017,11.923,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2018,11.928,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,11.926,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,11.912,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,11.988,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,12.784,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2015,12.633,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2016,12.74,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2017,14.212,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2018,15.484,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,16.757,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,17.208,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,17.208,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,17.208,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,68400.742,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,71631.753,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,71688.628,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2018,71793.002,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,72131.135,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2020,67353.438,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2021,69550.496,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2022,74103.715,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.86,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.866,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.898,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.917,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.933,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.93,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.931,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.937,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,79.223,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,79.335,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,79.504,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,79.627,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,79.726,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,78.946,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,78.71,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,79.196,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,10.674,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,10.843,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,12.055,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,12.484,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,12.694,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,12.734,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,12.774,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,12.774,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,17,
ARG,Argentina,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,48,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,10.918,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,10.928,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,11.016,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,11.105,
